chozodecal01_bc maps\textures\chozodecal01_bc.bctex
aquarocksalt02rock_at maps\objects\aquarocksalt02\textures\aquarocksalt02rock_at.bctex
pup_diffusionbeam_bc actors\items\powerup_diffusionbeam\models\textures\pup_diffusionbeam_bc.bctex
lavasim01 actors\weapons\cooldownxbosslavadrop\fx\textures\lavasim01.bctex
elevator_steam04 actors\props\elevator\fx\textures\elevator_steam04.bctex
shaft_diagonal system\fx\textures_zdr\shaft_diagonal.bctex
dropter_at actors\characters\dropter\models\textures\dropter_at.bctex
magdigrockwalllava03_bc maps\textures\magdigrockwalllava03_bc.bctex
chozomatplates03_nm maps\textures\chozomatplates03_nm.bctex
cavcrystal06_at maps\textures\cavcrystal06_at.bctex
muzzle_fire system\fx\textures_zdr\muzzle_fire.bctex
chozoallpathgen03a_bc maps\textures\chozoallpathgen03a_bc.bctex
chozomatconcretepattern06_nm maps\textures\chozomatconcretepattern06_nm.bctex
imgui_fonttexture_nx system\fonts\textures\imgui_fonttexture_nx.bctex
forestdigrock01_bc maps\textures\forestdigrock01_bc.bctex
pieces_broken_paper_00 system\fx\textures_zdr\pieces_broken_paper_00.bctex
mapev_plant003_nm actors\events\mapev_plant003\models\textures\mapev_plant003_nm.bctex
muralbreakeable_cut40_nm actors\props\muralbreakeable_cut40\models\textures\muralbreakeable_cut40_nm.bctex
pierlight01_bc maps\textures\pierlight01_bc.bctex
testspecular maps\cubemaps\testspecular.bctex
waterfall_noise maps\fx\waterfallforest\textures\waterfall_noise.bctex
texturetext_zl_20 gui\textures\texturetext_zl_20.bctex
weightactivatedplatform_at actors\props\weightactivatedplatform_generator\models\textures\weightactivatedplatform_at.bctex
sabotoru_nest_eggs_bc actors\props\doorchargecharge\models\textures\sabotoru_nest_eggs_bc.bctex
doorpresence_bc actors\props\doorpresencepresence\models\textures\doorpresence_bc.bctex
plancton01 actors\characters\iceflea\fx\textures\plancton01.bctex
pup_plasmabeam_nm actors\items\powerup_plasmabeam\models\textures\pup_plasmabeam_nm.bctex
aquarock03x4simple_bc maps\textures\aquarock03x4simple_bc.bctex
scorpiusdiffusehdr maps\cubemaps\scorpius\scorpiusdiffusehdr.bctex
e_3_2specularhdr maps\cubemaps\emmy\e_3_2specularhdr.bctex
gold_wall00 maps\textures\gold_wall00.bctex
chozomatmetalred08_bc maps\textures\chozomatmetalred08_bc.bctex
chozomatmetalwhite06_bc maps\textures\chozomatmetalwhite06_bc.bctex
fr2_maproom_versiondiffusehdr maps\cubemaps\definitivos\fr.2_maproom_versiondiffusehdr.bctex
smokestrip system\fx\textures\smokestrip.bctex
fr2_basesanc_versiondiffusehdr maps\cubemaps\definitivos\fr.2_basesanc_versiondiffusehdr.bctex
chozomatcircuits02_bc maps\textures\chozomatcircuits02_bc.bctex
chozoborderemmyjoint03_bc maps\textures\chozoborderemmyjoint03_bc.bctex
cavplatformrock04v8_at maps\textures\cavplatformrock04v8_at.bctex
resin_nor maps\fx\resin\textures\resin_nor.bctex
debuggrapple_bc maps\textures\debuggrapple_bc.bctex
chozocavproto01_at maps\textures\chozocavproto01_at.bctex
doorwavebeam_at actors\props\doorwavebeam\models\textures\doorwavebeam_at.bctex
er_thumbnails gui\textures\er_thumbnails.bctex
grey01_bc maps\textures\grey01_bc.bctex
powergenengine_a_at actors\props\powergeneratorengine\models\textures\powergenengine_a_at.bctex
cavpathrock01v3_bc maps\textures\cavpathrock01v3_bc.bctex
attackarc system\fx\textures\attackarc.bctex
stopstation_autool_nm actors\props\stopstation_autool\models\textures\stopstation_autool_nm.bctex
waterstream00_norm maps\fx\waterstream\textures\waterstream00_norm.bctex
cavecolumcristal01_bc maps\textures\cavecolumcristal01_bc.bctex
splash_one system\fx\textures\splash_one.bctex
gooplotevent01_bc actors\events\mapev_gooplot\models\textures\gooplotevent01_bc.bctex
noise_green actors\weapons\linebomb\fx\textures\noise_green.bctex
chozobgmagwallb_nm maps\textures\chozobgmagwallb_nm.bctex
caveinitcubediffusehdr maps\cubemaps\caveinitcubediffusehdr.bctex
ammorechargebase_at actors\props\ammorecharge\models\textures\ammorechargebase_at.bctex
texturetext_lstickpress_20 gui\textures\texturetext_lstickpress_20.bctex
chozomatplates03_bc maps\textures\chozomatplates03_bc.bctex
energycircle system\fx\textures\energycircle.bctex
mossdecal01_at maps\textures\mossdecal01_at.bctex
powerup_bomb actors\items\powerup_speedbooster\models\textures\powerup_bomb.bctex
chozodoor02_nm maps\textures\chozodoor02_nm.bctex
emmy_cubemap_test_14diffusehdr maps\cubemaps\pruebas\emmy_cubemap_test_14diffusehdr.bctex
noise_grunge002 system\fx\textures_zdr\noise_grunge002.bctex
transport_arrows gui\textures\transport_arrows.bctex
noise_blured_darkred actors\props\maproom\fx\textures\noise_blured_darkred.bctex
mattepaintingshipyard006sky01_bc maps\textures\mattepaintingshipyard006sky01_bc.bctex
magrockborder_nm maps\textures\magrockborder_nm.bctex
fr2_quarantine_versiondiffusehdr maps\cubemaps\definitivos\fr.2_quarantine_versiondiffusehdr.bctex
chc_atlas system\fonts\textures\chc_atlas.bctex
woodbark05_nm maps\textures\woodbark05_nm.bctex
chozomatplates01_bc maps\textures\chozomatplates01_bc.bctex
rain_droplet_at maps\textures\rain_droplet_at.bctex
chozoalltunnelbg01corner_at maps\objects\chozoalltunnelbg01corner\textures\chozoalltunnelbg01corner_at.bctex
powerbomb_d actors\items\powerup_powerbomb\models\textures\powerbomb_d.bctex
orbstatue_bc maps\textures\orbstatue_bc.bctex
e_3_1specularhdr maps\cubemaps\emmy\e_3_1specularhdr.bctex
brekable_water_nor actors\props\breakablecave003\fx\textures\brekable_water_nor.bctex
lavasolid_nm_4 maps\textures\lavasolid_nm_4.bctex
vshaft system\fx\textures\vshaft.bctex
ev_gatesealed_bc actors\props\ev_gatesealed\models\textures\ev_gatesealed_bc.bctex
rockmagma01_nm maps\textures\rockmagma01_nm.bctex
aquarocksalt01velvet_nm maps\objects\aquarocksalt01\textures\aquarocksalt01velvet_nm.bctex
cave_elevator_at actors\props\cave_elevator\models\textures\cave_elevator_at.bctex
magdigrock01_bc maps\textures\magdigrock01_bc.bctex
cavpathrock02v1_nm maps\textures\cavpathrock02v1_nm.bctex
exteriorlamp01_nm maps\textures\exteriorlamp01_nm.bctex
weightactivatedplatform_save_nm actors\props\weightactivatedplatform_save\models\textures\weightactivatedplatform_save_nm.bctex
chozobgquarantine02_bc maps\textures\chozobgquarantine02_bc.bctex
destuctibleblock_bc maps\textures\destuctibleblock_bc.bctex
emmysancwhite_bc actors\characters\emmysanc\models\textures\emmysancwhite_bc.bctex
chozopathwater01x4_nm maps\textures\chozopathwater01x4_nm.bctex
cavpathrock04v1_bc maps\textures\cavpathrock04v1_bc.bctex
penta_shaft_hard system\fx\textures_zdr\penta_shaft_hard.bctex
commandernakedhead_nm actors\characters\chozocommander\models\textures\commandernakedhead_nm.bctex
barnacledecal01_at maps\textures\barnacledecal01_at.bctex
woodbark07_bc maps\textures\woodbark07_bc.bctex
decal_scratches system\fx\textures_zdr\decal_scratches.bctex
noise_blue actors\weapons\linebomb\fx\textures\noise_blue.bctex
cavpathrock01v4_at maps\textures\cavpathrock01v4_at.bctex
forestmoss02_at maps\textures\forestmoss02_at.bctex
itemspherespenergygaunlet_d actors\items\itemsphere_spenergygaunlet\models\textures\itemspherespenergygaunlet_d.bctex
autoadexplode01 system\fx\textures\autoadexplode01.bctex
magdigrocklava04_nm maps\textures\magdigrocklava04_nm.bctex
curvepatch01_at maps\textures\curvepatch01_at.bctex
samussuit-varia gui\textures\samussuit-varia.bctex
chozoemmytunnelpath01_nm maps\textures\chozoemmytunnelpath01_nm.bctex
explosion01 actors\props\doorshieldmissile\fx\textures\explosion01.bctex
chozoshiptunnel_id1_nm maps\textures\chozoshiptunnel_id1_nm.bctex
samuszeroreward_d actors\characters\samus\models\textures\samuszeroreward_d.bctex
chozobasebgwall06end_bc maps\textures\chozobasebgwall06end_bc.bctex
fusionmorphgravity_d actors\characters\morphball\models\textures\fusionmorphgravity_d.bctex
glow4 system\fx\textures\glow4.bctex
cavstatuesaveroom01_nm maps\textures\cavstatuesaveroom01_nm.bctex
aquarockwall04x3simple_nm maps\textures\aquarockwall04x3simple_nm.bctex
chozoaqbg_nm maps\textures\chozoaqbg_nm.bctex
chozomatflatgray01_nm maps\textures\chozomatflatgray01_nm.bctex
colum06_at maps\textures\colum06_at.bctex
capsula_capsula_nm actors\props\capsule_commander\models\textures\capsula_capsula_nm.bctex
emmyzone2cubemapspecularhdr maps\cubemaps\emmyzone2cubemapspecularhdr.bctex
cave_v4diffusehdr maps\cubemaps\19-8\cave_v4diffusehdr.bctex
glow2_inverted system\fx\textures_zdr\glow2_inverted.bctex
magkraidheadcorridor01_nm maps\textures\magkraidheadcorridor01_nm.bctex
cr_1specularhdr maps\cubemaps\pruebas\cr_1specularhdr.bctex
cavplatformrock04v1_at maps\textures\cavplatformrock04v1_at.bctex
electricbound system\fx\textures\electricbound.bctex
chozomatmetalwhite03_bc maps\textures\chozomatmetalwhite03_bc.bctex
triangleglow03 system\fx\textures_zdr\triangleglow03.bctex
fr2_cave_versionspecularhdr maps\cubemaps\definitivos\fr.2_cave_versionspecularhdr.bctex
cavrockcrystal01_nm maps\textures\cavrockcrystal01_nm.bctex
cavcolumnrock01_bc maps\textures\cavcolumnrock01_bc.bctex
chozoaqpath01_nm maps\textures\chozoaqpath01_nm.bctex
chozocorridoremmy01_02_bc maps\textures\chozocorridoremmy01_02_bc.bctex
kraidprison_nm maps\textures\kraidprison_nm.bctex
chozoshipvt02_at maps\textures\chozoshipvt02_at.bctex
magdigrockwall02_at maps\textures\magdigrockwall02_at.bctex
cavrockbackground06_nm maps\textures\cavrockbackground06_nm.bctex
chozoallassetbottle_bc maps\textures\chozoallassetbottle_bc.bctex
pf_mushr_fr_at actors\props\pf_mushr_fr\models\textures\pf_mushr_fr_at.bctex
tankglow actors\weapons\weaponstank\models\textures\tankglow.bctex
